corridor_period,tmc_code,minute,mean_tt,p95_tt,days,start_latitude,length_mi,distance_end_mi,distance_start_mi,t0_min,tti,pti95,gamma95
I-95 NB AM,110+04148,300,1.6960869565217391,1.7289999999999999,23,38.55214,1.9785741666666667,4.706038333333334,2.727464166666667,1.6582546445034223,1.022814537045754,1.0426625402383618,1.019405280697257
I-95 NB AM,110+04148,305,1.702173913043478,1.7389999999999999,23,38.55214,1.9785741666666667,4.706038333333334,2.727464166666667,1.6582546445034223,1.026485237768297,1.0486929771396825,1.0216347381864623
I-95 NB AM,110+04148,310,1.7269565217391303,1.769,23,38.55214,1.9785741666666667,4.706038333333334,2.727464166666667,1.6582546445034223,1.0414302335672223,1.0667842878436449,1.0243454179254783
I-95 NB AM,110+04148,315,1.746086956521739,1.857,23,38.55214,1.9785741666666667,4.706038333333334,2.727464166666667,1.6582546445034223,1.0529667215523577,1.1198521325752677,1.0635209163346615
I-95 NB AM,110+04148,320,1.7439130434782608,1.827,23,38.55214,1.9785741666666667,4.706038333333334,2.727464166666667,1.6582546445034223,1.0516557570085925,1.1017608218713055,1.0476439790575915
I-95 NB AM,110+04148,325,1.7552173913043476,1.82,23,38.55214,1.9785741666666667,4.706038333333334,2.727464166666667,1.6582546445034223,1.0584727726361722,1.097539516040381,1.036908595491702
I-95 NB AM,110+04148,330,1.748695652173913,1.808,23,38.55214,1.9785741666666667,4.706038333333334,2.727464166666667,1.6582546445034223,1.0545398790048761,1.090302991758796,1.0339134758826456
I-95 NB AM,110+04148,335,1.75,1.828,23,38.55214,1.9785741666666667,4.706038333333334,2.727464166666667,1.6582546445034223,1.0553264577311354,1.1023638655614376,1.0445714285714287
I-95 NB AM,110+04148,340,1.7369565217391305,1.799,23,38.55214,1.9785741666666667,4.706038333333334,2.727464166666667,1.6582546445034223,1.0474606704685432,1.0848755985476073,1.0357196495619523
I-95 NB AM,110+04148,345,1.75,1.8739999999999999,23,38.55214,1.9785741666666667,4.706038333333334,2.727464166666667,1.6582546445034223,1.0553264577311354,1.130103875307513,1.0708571428571427
I-95 NB AM,110+04148,350,1.7482608695652175,1.864,23,38.55214,1.9785741666666667,4.706038333333334,2.727464166666667,1.6582546445034223,1.0542776860961232,1.1240734384061923,1.0662024372046754
I-95 NB AM,110+04148,355,1.7573913043478262,1.846,23,38.55214,1.9785741666666667,4.706038333333334,2.727464166666667,1.6582546445034223,1.059783737179938,1.113218651983815,1.0504205838693716
I-95 NB AM,110+04148,360,1.7560869565217392,1.854,23,38.55214,1.9785741666666667,4.706038333333334,2.727464166666667,1.6582546445034223,1.0589971584536786,1.1180430015048717,1.0557563753404309
I-95 NB AM,110+04148,365,1.767391304347826,1.8929999999999998,23,38.55214,1.9785741666666667,4.706038333333334,2.727464166666667,1.6582546445034223,1.0658141740812586,1.1415617054200224,1.071070110701107
I-95 NB AM,110+04148,370,1.7721739130434782,1.839,23,38.55214,1.9785741666666667,4.706038333333334,2.727464166666667,1.6582546445034223,1.0686982960775424,1.1089973461528904,1.0377085377821393
I-95 NB AM,110+04148,375,1.7882608695652176,1.84,23,38.55214,1.9785741666666667,4.706038333333334,2.727464166666667,1.6582546445034223,1.0783994337014065,1.1096003898430224,1.0289326525650375
I-95 NB AM,110+04148,380,1.82,1.896,23,38.55214,1.9785741666666667,4.706038333333334,2.727464166666667,1.6582546445034223,1.097539516040381,1.1433708364904187,1.0417582417582416
I-95 NB AM,110+04148,385,1.9821739130434783,1.8989999999999998,23,38.55214,1.9785741666666667,4.706038333333334,2.727464166666667,1.6582546445034223,1.1953374710052787,1.145179967560815,0.9580390436499231
I-95 NB AM,110+04148,390,2.1043478260869564,1.9389999999999998,23,38.55214,1.9785741666666667,4.706038333333334,2.727464166666667,1.6582546445034223,1.2690136783648933,1.169301715166098,0.9214256198347107
I-95 NB AM,110+04148,395,2.203478260869565,1.9979999999999996,23,38.55214,1.9785741666666667,4.706038333333334,2.727464166666667,1.6582546445034223,1.3287936615605949,1.2048812928838903,0.9067482241515389
I-95 NB AM,110+04148,400,2.1669565217391304,1.8969999999999998,23,38.55214,1.9785741666666667,4.706038333333334,2.727464166666667,1.6582546445034223,1.3067694572253366,1.1439738801805508,0.8754213483146066
I-95 NB AM,110+04148,405,2.152608695652174,1.9889999999999999,23,38.55214,1.9785741666666667,4.706038333333334,2.727464166666667,1.6582546445034223,1.298117091236485,1.199453899672702,0.9239951524944455
I-95 NB AM,110+04148,410,2.371739130434783,1.9869999999999999,23,38.55214,1.9785741666666667,4.706038333333334,2.727464166666667,1.6582546445034223,1.430262317248036,1.1982478122924378,0.8377818515123738
I-95 NB AM,110+04148,415,2.5643478260869568,1.9329999999999998,23,38.55214,1.9785741666666667,4.706038333333334,2.727464166666667,1.6582546445034223,1.546413775825649,1.1656834530253055,0.753797897592404
I-95 NB AM,110+04148,420,2.1221739130434782,1.9089999999999998,23,38.55214,1.9785741666666667,4.706038333333334,2.727464166666667,1.6582546445034223,1.2797635876237694,1.1512104044621356,0.8995492726900225
I-95 NB AM,110+04148,425,2.2295652173913045,1.869,23,38.55214,1.9785741666666667,4.706038333333334,2.727464166666667,1.6582546445034223,1.3445252360857798,1.1270886568568528,0.8382800312012479
I-95 NB AM,110+04148,430,2.1534782608695653,2.014,23,38.55214,1.9785741666666667,4.706038333333334,2.727464166666667,1.6582546445034223,1.2986414770539911,1.2145299919260037,0.9352311730264485
I-95 NB AM,110+04148,435,2.1617391304347824,1.838,23,38.55214,1.9785741666666667,4.706038333333334,2.727464166666667,1.6582546445034223,1.3036231423202993,1.1083943024627583,0.8502413515687853
