pair,facility,tmc_code,length_mi,weekdays,mean_T_min,T95_min,TTI,PTI95,gamma95,buffer_index
I-95 NB AM,ML,110+04664,0.44966666666666666,23,0.3819202898550725,0.3887777777777778,1.0050533943554538,1.0230994152046784,1.0179552857097682,0.01795528570976823
I-95 NB AM,ML,110+04665,1.4841666666666669,23,1.2430917874396135,1.270111111111111,1.005082635549154,1.0269286917462097,1.0217355821545158,0.021735582154515765
I-95 NB AM,ML,110+04666,2.392833333333334,23,2.0178019323671497,2.0794444444444444,0.9978681980780635,1.028352410361186,1.030549337419347,0.030549337419347067
I-95 NB AM,ML,110+04668,0.284395,23,0.24242753623188407,0.2461944444444444,1.0087117725032537,1.0243854237683243,1.015538285258805,0.015538285258805073
I-95 NB AM,GP,110P04146,0.49872833333333333,23,0.49863526570048305,0.48138888888888887,1.1164582856375505,1.0778431663048205,0.9654128418146148,-0.03458715818538516
I-95 NB AM,GP,110P04147,0.399,23,0.4166908212560386,0.36630555555555555,1.1835829509361164,1.0404669080107676,0.8790823720364037,-0.12091762796359629
I-95 NB AM,GP,110P04148,0.5144533333333334,23,0.4933695652173912,0.5906666666666666,1.0389352367279967,1.243823000898472,1.1972093706396416,0.1972093706396416
I-95 NB AM,GP,110P04150,0.568,23,0.8526086956521739,1.485611111111111,1.6261609512145336,2.8334718961919667,1.7424301660150716,0.7424301660150716
I-95 NB AM,GP,110P04151,0.8361999999999999,23,1.9089855072463768,2.4643055555555553,2.397075798383994,3.0943803316590928,1.2908979906873164,0.29089799068731637
I-95 NB AM,GP,110P04152,0.5815375,23,0.666231884057971,0.7337222222222222,1.2029206685052458,1.3247784250084185,1.1013015734899572,0.10130157348995716
I-95 NB AM,GP,110P04153,1.015,23,1.5316908212560387,3.5421944444444433,1.6348095793373156,3.78066730523627,2.312604081246451,1.3126040812464508
I-95 NB AM,GP,110P04154,0.23999499999999996,23,0.45754830917874395,0.7335833333333333,2.0653652573746926,3.311382644545836,1.603291540187409,0.603291540187409
I-95 NB AM,GP,110P04155,0.5560583333333333,23,1.1377777777777778,1.557,2.0802507064440015,2.8467337059960736,1.36845703125,0.36845703124999996
I-95 NB AM,GP,110P04156,0.7645433333333334,23,1.3253140096618359,1.701,1.762362599664549,2.2619384992348373,1.2834694175111174,0.2834694175111174
I-95 NB AM,GP,110P04157,0.4825333333333333,23,0.7265096618357488,1.039861111111111,1.480521899983047,2.1190869561880192,1.43131078048375,0.43131078048374993
I-95 NB AM,GP,110P04158,0.5432000000000001,23,0.626183574879227,0.8439999999999999,1.152767994991213,1.5537555228276871,1.3478475543897546,0.34784755438975457
I-95 NB AM,ML,110P04658,0.7625299999999999,23,0.6397584541062802,0.6427222222222222,1.034759847784453,1.0395535136201077,1.0046326361096427,0.004632636109642707
I-95 NB AM,ML,110P04659,0.432,23,0.35776570048309175,0.36238888888888887,0.9937936124530327,1.0066358024691358,1.0129223913850725,0.012922391385072451
I-95 NB AM,ML,110P04660,0.9703333333333333,23,0.8160628019323672,0.8339166666666666,0.9951985389419113,1.0169715447154473,1.0218780523901139,0.021878052390113867
I-95 NB AM,ML,110P04661,0.2555,23,0.2134420289855073,0.21738888888888888,0.9885442960189835,1.006823947234906,1.0184914841849146,0.01849148418491464
I-95 NB AM,ML,110P04662,1.0033333333333332,23,0.8437801932367148,0.8552222222222222,0.9951560418572551,1.0086507936507938,1.0135604379875476,0.01356043798754758
I-95 NB AM,ML,110P04663,1.0797,23,0.8967028985507245,0.9029166666666666,1.0104552436510585,1.0174572669362887,1.0069295729120369,0.006929572912036885
