link_id,date_local,threshold_multiplier,vc_mph,threshold_speed_mph,demand_capacity_ratio,capacity_vph_link,episode_identified,duration_bins,duration_h,congested_passed_volume_veh,capacity_equivalent_hours,episode_start_local,episode_end_local,minimum_speed_mph,minimum_speed_time_local,touches_data_start,touches_data_end
L405S-114,2025-09-10,1.000000,45.468734,45.468734,0.937836,6600.300000,True,42,3.500000,15772.500000,2.389664,2025-09-10T06:40:00-07:00,2025-09-10T10:10:00-07:00,19.800000,2025-09-10T08:35:00-07:00,False,False
L405S-114,2025-09-11,1.000000,45.468734,45.468734,0.903898,6600.300000,True,38,3.166667,14421.000000,2.184901,2025-09-11T06:50:00-07:00,2025-09-11T10:00:00-07:00,24.100000,2025-09-11T08:05:00-07:00,False,False
L405S-114,2025-09-12,1.000000,45.468734,45.468734,0.930109,6600.300000,True,13,1.083333,6304.000000,0.955108,2025-09-12T06:45:00-07:00,2025-09-12T07:50:00-07:00,33.350000,2025-09-12T07:35:00-07:00,False,False
L405S-114,2025-09-15,1.000000,45.468734,45.468734,0.977834,6600.300000,True,24,2.000000,11007.000000,1.667651,2025-09-15T06:45:00-07:00,2025-09-15T08:45:00-07:00,28.000000,2025-09-15T07:35:00-07:00,False,False
L405S-114,2025-09-16,1.000000,45.468734,45.468734,0.931170,6600.300000,True,40,3.333333,14201.000000,2.151569,2025-09-16T06:40:00-07:00,2025-09-16T10:00:00-07:00,20.600000,2025-09-16T09:00:00-07:00,False,False
L405S-114,2025-09-17,1.000000,45.468734,45.468734,0.825872,6600.300000,True,40,3.333333,14357.500000,2.175280,2025-09-17T06:45:00-07:00,2025-09-17T10:05:00-07:00,20.900000,2025-09-17T07:40:00-07:00,False,False
L405S-114,2025-09-18,1.000000,45.468734,45.468734,0.950033,6600.300000,True,36,3.000000,13793.000000,2.089753,2025-09-18T06:40:00-07:00,2025-09-18T09:40:00-07:00,21.950000,2025-09-18T08:05:00-07:00,False,False
L405S-114,2025-09-19,1.000000,45.468734,45.468734,0.929579,6600.300000,True,18,1.500000,7836.000000,1.187219,2025-09-19T06:55:00-07:00,2025-09-19T08:25:00-07:00,26.800000,2025-09-19T07:55:00-07:00,False,False
L405S-114,2025-09-22,1.000000,45.468734,45.468734,1.020484,6600.300000,True,24,2.000000,10484.500000,1.588488,2025-09-22T06:45:00-07:00,2025-09-22T08:45:00-07:00,21.500000,2025-09-22T07:55:00-07:00,False,False
L405S-114,2025-09-23,1.000000,45.468734,45.468734,0.914580,6600.300000,True,39,3.250000,13769.000000,2.086117,2025-09-23T06:40:00-07:00,2025-09-23T09:55:00-07:00,21.600000,2025-09-23T08:05:00-07:00,False,False
L405S-114,2025-09-24,1.000000,45.468734,45.468734,0.890717,6600.300000,True,39,3.250000,13929.500000,2.110434,2025-09-24T06:40:00-07:00,2025-09-24T09:55:00-07:00,21.850000,2025-09-24T07:55:00-07:00,False,False
L405S-114,2025-09-25,1.000000,45.468734,45.468734,0.754814,6600.300000,True,39,3.250000,13667.000000,2.070663,2025-09-25T06:40:00-07:00,2025-09-25T09:55:00-07:00,19.400000,2025-09-25T06:55:00-07:00,False,False
L405S-115,2025-09-05,1.000000,46.743294,46.743294,0.923115,7668.600000,True,15,1.250000,8043.000000,1.048822,2025-09-05T06:45:00-07:00,2025-09-05T08:00:00-07:00,24.300000,2025-09-05T07:40:00-07:00,False,False
L405S-115,2025-09-08,1.000000,46.743294,46.743294,0.836007,7668.600000,True,33,2.750000,13052.000000,1.702006,2025-09-08T06:40:00-07:00,2025-09-08T09:25:00-07:00,21.700000,2025-09-08T08:45:00-07:00,False,False
L405S-115,2025-09-09,1.000000,46.743294,46.743294,0.842918,7668.600000,True,42,3.500000,18023.000000,2.350233,2025-09-09T06:30:00-07:00,2025-09-09T10:00:00-07:00,10.700000,2025-09-09T08:05:00-07:00,False,False
L405S-115,2025-09-10,1.000000,46.743294,46.743294,0.927288,7668.600000,True,42,3.500000,17828.000000,2.324805,2025-09-10T06:40:00-07:00,2025-09-10T10:10:00-07:00,6.200000,2025-09-10T08:35:00-07:00,False,False
L405S-115,2025-09-11,1.000000,46.743294,46.743294,0.908380,7668.600000,True,39,3.250000,16304.000000,2.126073,2025-09-11T06:45:00-07:00,2025-09-11T10:00:00-07:00,11.200000,2025-09-11T08:10:00-07:00,False,False
L405S-115,2025-09-12,1.000000,46.743294,46.743294,0.910466,7668.600000,True,13,1.083333,7062.000000,0.920898,2025-09-12T06:45:00-07:00,2025-09-12T07:50:00-07:00,22.900000,2025-09-12T07:35:00-07:00,False,False
