mean_dc,mu_ln_dc,sigma_ln_dc,expected_tti,shrp2_tti95,tti_50,gamma_50,delay_dominant_gamma_50,tti_80,gamma_80,delay_dominant_gamma_80,tti_90,gamma_90,delay_dominant_gamma_90,tti_95,gamma_95,delay_dominant_gamma_95,empirical_support,sigma_model,alpha,beta
0.86,-0.15152828566692292,0.037560509377250154,1.2129630805788931,1.708552928466827,1.2124917142911695,0.9996113927165049,0.9977866290887494,1.2247368691331786,1.009706633897436,1.0552855852868064,1.2314159369717537,1.0152130404365265,1.086648147381698,1.2370810176954303,1.0198834882138597,1.113249381305801,True,constant,0.27795665535834296,1.7723568133959584
0.87,-0.13996746326584691,0.037560509377250154,1.2173716850015257,1.721867634084238,1.216890560837014,0.9996047844956152,0.9977866290887494,1.2293892058316145,1.0098716940587242,1.0552855852868064,1.236206538800146,1.0154717363896932,1.086648147381698,1.2419888938413481,1.0202216045790415,1.113249381305801,True,constant,0.27795665535834296,1.7723568133959584
0.88,-0.12853876744222414,0.037560509377250154,1.2218196023117123,1.735252295391328,1.2213286332564102,0.9995981656748891,0.9977866290887494,1.2340830288536018,1.0100370189827426,1.0552855852868064,1.241039859904967,1.015730847300935,1.086648147381698,1.2469405350350125,1.0205602632956376,1.113249381305801,True,constant,0.27795665535834296,1.7723568133959584
0.89,-0.11723921218829075,0.037560509377250154,1.2263067303607051,1.7487056684145927,1.2258058296267047,0.99959153715657,0.9977866290887494,1.2388182304030404,1.0102025861332875,1.0552855852868064,1.2459157892864698,1.0159903378496478,1.086648147381698,1.251935827559394,1.0208994181995155,1.113249381305801,True,constant,0.27795665535834296,1.7723568133959584
0.9,-0.10606591159016553,0.037560509377250154,1.230832968415005,1.7622265215075767,1.2303220494373577,0.9995848998273866,0.9977866290887494,1.2435947041773194,1.0103683733616173,1.0552855852868064,1.2508342174827833,1.0162501733224898,1.086648147381698,1.256974659272986,1.0212390239202358,1.113249381305801,True,constant,0.27795665535834296,1.7723568133959584
0.91,-0.09501607540358054,0.037560509377250154,1.2353982171211757,1.7758136353084253,1.2348771935548393,0.9995782545586389,0.9977866290887494,1.2484123453301905,1.0105343589044036,1.0552855852868064,1.2557950365316801,1.0165103196101697,1.086648147381698,1.2620569195706373,1.0215790358768557,1.113249381305801,True,constant,0.27795665535834296,1.7723568133959584
0.92,-0.08408700487139026,0.037560509377250154,1.2400023784719139,1.7894658026970547,1.2394711641887732,0.9995716022062835,0.9977866290887494,1.2532710504359592,1.0107005213815772,1.0552855852868064,1.2607981399337063,1.0167707432040731,1.086648147381698,1.2671824993457788,1.0219194102735187,1.113249381305801,True,constant,0.27795665535834296,1.7723568133959584
0.93,-0.07327608876717462,0.037560509377250154,1.244645355773315,1.803181828751839,1.2441038648592737,0.9995649436110218,0.9977866290887494,1.2581707174549417,1.0108668397940739,1.0552855852868064,1.265843422616609,1.0170314111927277,1.086648147381698,1.2723512909539805,1.0222601040948338,1.113249381305801,True,constant,0.27795665535834296,1.7723568133959584
0.94,-0.06258079965042677,0.037560509377250154,1.2493270536132781,1.8169605307057068,1.2487752003654227,0.999558279598397,0.9977866290887494,1.2631112457001232,1.0110332935214832,1.0552855852868064,1.270930780901006,1.0172922912581186,1.086648147381698,1.2775631881777803,1.022601075101062,1.113249381305801,True,constant,0.27795665535834296,1.7723568133959584
0.95,-0.05199869031988982,0.037560509377250154,1.2540473778310028,1.8308007379015847,1.2534850767548322,0.9995516109788904,0.9977866290887494,1.2680925358049682,1.0111998623196021,1.0552855852868064,1.2760601124672375,1.0175533516718545,1.086648147381698,1.2828180861927247,1.0229422818231029,1.113249381305801,True,constant,0.27795665535834296,1.7723568133959584
